eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.9640369415283203,0.1370691732947698,0.1370691732947698,0.1370691732947698,0.13706917329476984,0.008938698475175866,"[[19649, 34294, 29850, 52709, 32871, 34007], [87, 390, 1109, 1727, 982, 1959], [841, 902, 948, 1307, 1016, 2295], [5778, 11220, 6151, 14514, 7246, 9353], [258, 1498, 4594, 3088, 3536, 3078], [70, 643, 271, 795, 622, 772]]",253.6584,16.357,1.025,,,,,,,,,
,,,,,,,,,,1.9301,9.987163029525033e-05,0.0,1.0,,,,,
,,,,,,,,,,1.9918,9.974326059050065e-05,0.0,2.0,,,,,
,,,,,,,,,,1.9462,9.961489088575097e-05,0.0,3.0,,,,,
,,,,,,,,,,1.9717,9.948652118100129e-05,0.01,4.0,,,,,
,,,,,,,,,,1.948,9.93581514762516e-05,0.01,5.0,,,,,
,,,,,,,,,,1.954,9.922978177150193e-05,0.01,6.0,,,,,
,,,,,,,,,,1.9605,9.910141206675225e-05,0.01,7.0,,,,,
,,,,,,,,,,1.9468,9.897304236200258e-05,0.01,8.0,,,,,
,,,,,,,,,,1.932,9.884467265725289e-05,0.01,9.0,,,,,
,,,,,,,,,,1.943,9.871630295250322e-05,0.01,10.0,,,,,
,,,,,,,,,,1.9358,9.858793324775354e-05,0.01,11.0,,,,,
,,,,,,,,,,1.935,9.845956354300385e-05,0.02,12.0,,,,,
,,,,,,,,,,1.9318,9.833119383825418e-05,0.02,13.0,,,,,
,,,,,,,,,,1.8903,9.82028241335045e-05,0.02,14.0,,,,,
,,,,,,,,,,1.931,9.807445442875481e-05,0.02,15.0,,,,,
,,,,,,,,,,1.9063,9.794608472400514e-05,0.02,16.0,,,,,
,,,,,,,,,,1.9275,9.781771501925546e-05,0.02,17.0,,,,,
,,,,,,,,,,1.8807,9.768934531450578e-05,0.02,18.0,,,,,
,,,,,,,,,,1.91,9.75609756097561e-05,0.02,19.0,,,,,
,,,,,,,,,,1.8985,9.743260590500642e-05,0.03,20.0,,,,,
,,,,,,,,,,1.907,9.730423620025674e-05,0.03,21.0,,,,,
,,,,,,,,,,1.8612,9.717586649550706e-05,0.03,22.0,,,,,
,,,,,,,,,,1.8895,9.704749679075738e-05,0.03,23.0,,,,,
,,,,,,,,,,1.8899,9.69191270860077e-05,0.03,24.0,,,,,
,,,,,,,,,,1.8661,9.679075738125802e-05,0.03,25.0,,,,,
,,,,,,,,,,1.851,9.666238767650834e-05,0.03,26.0,,,,,
,,,,,,,,,,1.8725,9.653401797175868e-05,0.03,27.0,,,,,
,,,,,,,,,,1.8409,9.640564826700899e-05,0.04,28.0,,,,,
,,,,,,,,,,1.8535,9.62772785622593e-05,0.04,29.0,,,,,
,,,,,,,,,,1.8511,9.614890885750964e-05,0.04,30.0,,,,,
,,,,,,,,,,1.8436,9.602053915275996e-05,0.04,31.0,,,,,
,,,,,,,,,,1.853,9.589216944801027e-05,0.04,32.0,,,,,
,,,,,,,,,,1.8135,9.57637997432606e-05,0.04,33.0,,,,,
,,,,,,,,,,1.8003,9.563543003851092e-05,0.04,34.0,,,,,
,,,,,,,,,,1.7991,9.550706033376124e-05,0.04,35.0,,,,,
,,,,,,,,,,1.8031,9.537869062901156e-05,0.05,36.0,,,,,
,,,,,,,,,,1.7537,9.525032092426188e-05,0.05,37.0,,,,,
,,,,,,,,,,1.8141,9.51219512195122e-05,0.05,38.0,,,,,
,,,,,,,,,,1.8088,9.499358151476252e-05,0.05,39.0,,,,,
,,,,,,,,,,1.7101,9.486521181001284e-05,0.05,40.0,,,,,
,,,,,,,,,,1.7732,9.473684210526316e-05,0.05,41.0,,,,,
,,,,,,,,,,1.7523,9.460847240051348e-05,0.05,42.0,,,,,
,,,,,,,,,,1.7371,9.44801026957638e-05,0.06,43.0,,,,,
,,,,,,,,,,1.8222,9.435173299101414e-05,0.06,44.0,,,,,
,,,,,,,,,,1.716,9.422336328626444e-05,0.06,45.0,,,,,
,,,,,,,,,,1.7144,9.409499358151476e-05,0.06,46.0,,,,,
,,,,,,,,,,1.7199,9.39666238767651e-05,0.06,47.0,,,,,
,,,,,,,,,,1.7012,9.38382541720154e-05,0.06,48.0,,,,,
,,,,,,,,,,1.7507,9.370988446726572e-05,0.06,49.0,,,,,
,,,,,,,,,,1.6938,9.358151476251606e-05,0.06,50.0,,,,,
,,,,,,,,,,1.6062,9.345314505776636e-05,0.07,51.0,,,,,
,,,,,,,,,,1.5761,9.33247753530167e-05,0.07,52.0,,,,,
,,,,,,,,,,1.6045,9.319640564826702e-05,0.07,53.0,,,,,
,,,,,,,,,,1.5903,9.306803594351734e-05,0.07,54.0,,,,,
,,,,,,,,,,1.6028,9.293966623876766e-05,0.07,55.0,,,,,
,,,,,,,,,,1.4999,9.281129653401798e-05,0.07,56.0,,,,,
,,,,,,,,,,1.5747,9.26829268292683e-05,0.07,57.0,,,,,
,,,,,,,,,,1.6139,9.255455712451862e-05,0.07,58.0,,,,,
,,,,,,,,,,1.4514,9.242618741976894e-05,0.08,59.0,,,,,
,,,,,,,,,,1.4839,9.229781771501926e-05,0.08,60.0,,,,,
,,,,,,,,,,1.4135,9.216944801026958e-05,0.08,61.0,,,,,
,,,,,,,,,,1.3373,9.20410783055199e-05,0.08,62.0,,,,,
,,,,,,,,,,1.3586,9.191270860077022e-05,0.08,63.0,,,,,
,,,,,,,,,,1.364,9.178433889602054e-05,0.08,64.0,,,,,
,,,,,,,,,,1.3675,9.165596919127086e-05,0.08,65.0,,,,,
,,,,,,,,,,1.2971,9.152759948652118e-05,0.08,66.0,,,,,
,,,,,,,,,,1.1874,9.139922978177152e-05,0.09,67.0,,,,,
,,,,,,,,,,1.1657,9.127086007702182e-05,0.09,68.0,,,,,
,,,,,,,,,,1.2811,9.114249037227216e-05,0.09,69.0,,,,,
,,,,,,,,,,1.3481,9.101412066752248e-05,0.09,70.0,,,,,
,,,,,,,,,,1.4227,9.088575096277278e-05,0.09,71.0,,,,,
,,,,,,,,,,1.21,9.075738125802312e-05,0.09,72.0,,,,,
,,,,,,,,,,1.1458,9.062901155327344e-05,0.09,73.0,,,,,
,,,,,,,,,,0.8858,9.050064184852374e-05,0.09,74.0,,,,,
,,,,,,,,,,0.8875,9.037227214377408e-05,0.1,75.0,,,,,
,,,,,,,,,,0.987,9.02439024390244e-05,0.1,76.0,,,,,
,,,,,,,,,,1.0245,9.01155327342747e-05,0.1,77.0,,,,,
,,,,,,,,,,1.153,8.998716302952504e-05,0.1,78.0,,,,,
,,,,,,,,,,0.5394,8.985879332477536e-05,0.1,79.0,,,,,
,,,,,,,,,,1.321,8.973042362002568e-05,0.1,80.0,,,,,
,,,,,,,,,,1.1805,8.9602053915276e-05,0.1,81.0,,,,,
,,,,,,,,,,0.6725,8.947368421052632e-05,0.11,82.0,,,,,
,,,,,,,,,,1.1168,8.934531450577664e-05,0.11,83.0,,,,,
,,,,,,,,,,0.9916,8.921694480102696e-05,0.11,84.0,,,,,
,,,,,,,,,,1.1185,8.908857509627728e-05,0.11,85.0,,,,,
,,,,,,,,,,1.1217,8.896020539152761e-05,0.11,86.0,,,,,
,,,,,,,,,,0.8265,8.883183568677792e-05,0.11,87.0,,,,,
,,,,,,,,,,0.9494,8.870346598202824e-05,0.11,88.0,,,,,
,,,,,,,,,,0.9342,8.857509627727857e-05,0.11,89.0,,,,,
,,,,,,,,,,1.0252,8.84467265725289e-05,0.12,90.0,,,,,
,,,,,,,,,,0.5591,8.83183568677792e-05,0.12,91.0,,,,,
,,,,,,,,,,0.7122,8.818998716302953e-05,0.12,92.0,,,,,
,,,,,,,,,,0.6314,8.806161745827985e-05,0.12,93.0,,,,,
,,,,,,,,,,0.8386,8.793324775353016e-05,0.12,94.0,,,,,
,,,,,,,,,,0.9552,8.78048780487805e-05,0.12,95.0,,,,,
,,,,,,,,,,1.2223,8.767650834403082e-05,0.12,96.0,,,,,
,,,,,,,,,,1.1204,8.754813863928114e-05,0.12,97.0,,,,,
,,,,,,,,,,0.2891,8.741976893453146e-05,0.13,98.0,,,,,
,,,,,,,,,,0.6665,8.729139922978178e-05,0.13,99.0,,,,,
,,,,,,,,,,0.7039,8.71630295250321e-05,0.13,100.0,,,,,
,,,,,,,,,,0.8649,8.703465982028242e-05,0.13,101.0,,,,,
,,,,,,,,,,0.9974,8.690629011553274e-05,0.13,102.0,,,,,
,,,,,,,,,,0.3213,8.677792041078307e-05,0.13,103.0,,,,,
,,,,,,,,,,0.8455,8.664955070603338e-05,0.13,104.0,,,,,
,,,,,,,,,,0.803,8.65211810012837e-05,0.13,105.0,,,,,
,,,,,,,,,,0.8081,8.639281129653403e-05,0.14,106.0,,,,,
,,,,,,,,,,0.4265,8.626444159178434e-05,0.14,107.0,,,,,
,,,,,,,,,,0.4275,8.613607188703466e-05,0.14,108.0,,,,,
,,,,,,,,,,0.8216,8.600770218228499e-05,0.14,109.0,,,,,
,,,,,,,,,,0.464,8.58793324775353e-05,0.14,110.0,,,,,
,,,,,,,,,,1.0734,8.575096277278562e-05,0.14,111.0,,,,,
,,,,,,,,,,0.8317,8.562259306803595e-05,0.14,112.0,,,,,
,,,,,,,,,,0.5915,8.549422336328626e-05,0.15,113.0,,,,,
,,,,,,,,,,0.5835,8.53658536585366e-05,0.15,114.0,,,,,
,,,,,,,,,,0.65,8.523748395378691e-05,0.15,115.0,,,,,
,,,,,,,,,,0.284,8.510911424903723e-05,0.15,116.0,,,,,
,,,,,,,,,,0.663,8.498074454428755e-05,0.15,117.0,,,,,
,,,,,,,,,,0.3411,8.485237483953787e-05,0.15,118.0,,,,,
,,,,,,,,,,0.6498,8.47240051347882e-05,0.15,119.0,,,,,
,,,,,,,,,,0.4157,8.459563543003851e-05,0.15,120.0,,,,,
,,,,,,,,,,0.1511,8.446726572528884e-05,0.16,121.0,,,,,
,,,,,,,,,,0.6156,8.433889602053916e-05,0.16,122.0,,,,,
,,,,,,,,,,0.7324,8.421052631578948e-05,0.16,123.0,,,,,
,,,,,,,,,,0.3427,8.40821566110398e-05,0.16,124.0,,,,,
,,,,,,,,,,0.457,8.395378690629012e-05,0.16,125.0,,,,,
,,,,,,,,,,0.5069,8.382541720154045e-05,0.16,126.0,,,,,
,,,,,,,,,,0.3079,8.369704749679076e-05,0.16,127.0,,,,,
,,,,,,,,,,0.1354,8.356867779204108e-05,0.16,128.0,,,,,
,,,,,,,,,,0.4397,8.344030808729141e-05,0.17,129.0,,,,,
,,,,,,,,,,0.6554,8.331193838254172e-05,0.17,130.0,,,,,
,,,,,,,,,,0.4681,8.318356867779205e-05,0.17,131.0,,,,,
