eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.1757901906967163,0.30161207897793263,0.30161207897793263,0.30161207897793263,0.30161207897793263,-0.005758431211266758,"[[61242, 72990, 68530], [2527, 2047, 2324], [1981, 1976, 1633]]",187.7941,16.374,1.028,,,,,,,,,
,,,,,,,,,,1.1758,9.982698961937717e-05,0.0,1.0,,,,,
,,,,,,,,,,1.1684,9.965397923875432e-05,0.0,2.0,,,,,
,,,,,,,,,,1.1605,9.94809688581315e-05,0.01,3.0,,,,,
,,,,,,,,,,1.1669,9.930795847750865e-05,0.01,4.0,,,,,
,,,,,,,,,,1.1535,9.913494809688582e-05,0.01,5.0,,,,,
,,,,,,,,,,1.1594,9.896193771626297e-05,0.01,6.0,,,,,
,,,,,,,,,,1.1554,9.878892733564015e-05,0.01,7.0,,,,,
,,,,,,,,,,1.1613,9.86159169550173e-05,0.01,8.0,,,,,
,,,,,,,,,,1.1601,9.844290657439447e-05,0.02,9.0,,,,,
,,,,,,,,,,1.1437,9.826989619377162e-05,0.02,10.0,,,,,
,,,,,,,,,,1.1684,9.80968858131488e-05,0.02,11.0,,,,,
,,,,,,,,,,1.1221,9.792387543252595e-05,0.02,12.0,,,,,
,,,,,,,,,,1.1349,9.775086505190312e-05,0.02,13.0,,,,,
,,,,,,,,,,1.1211,9.757785467128027e-05,0.02,14.0,,,,,
,,,,,,,,,,1.1171,9.740484429065745e-05,0.03,15.0,,,,,
,,,,,,,,,,1.132,9.72318339100346e-05,0.03,16.0,,,,,
,,,,,,,,,,1.0979,9.705882352941177e-05,0.03,17.0,,,,,
,,,,,,,,,,1.112,9.688581314878892e-05,0.03,18.0,,,,,
,,,,,,,,,,1.0961,9.67128027681661e-05,0.03,19.0,,,,,
,,,,,,,,,,1.0934,9.653979238754325e-05,0.03,20.0,,,,,
,,,,,,,,,,1.0762,9.636678200692042e-05,0.04,21.0,,,,,
,,,,,,,,,,1.0817,9.619377162629759e-05,0.04,22.0,,,,,
,,,,,,,,,,1.0739,9.602076124567474e-05,0.04,23.0,,,,,
,,,,,,,,,,1.0814,9.584775086505192e-05,0.04,24.0,,,,,
,,,,,,,,,,1.0603,9.567474048442907e-05,0.04,25.0,,,,,
,,,,,,,,,,1.086,9.550173010380624e-05,0.04,26.0,,,,,
,,,,,,,,,,1.0863,9.532871972318339e-05,0.05,27.0,,,,,
,,,,,,,,,,1.0365,9.515570934256057e-05,0.05,28.0,,,,,
,,,,,,,,,,1.0487,9.498269896193772e-05,0.05,29.0,,,,,
,,,,,,,,,,1.0381,9.480968858131488e-05,0.05,30.0,,,,,
,,,,,,,,,,1.007,9.463667820069204e-05,0.05,31.0,,,,,
,,,,,,,,,,1.0425,9.446366782006922e-05,0.06,32.0,,,,,
,,,,,,,,,,1.0231,9.429065743944637e-05,0.06,33.0,,,,,
,,,,,,,,,,1.0205,9.411764705882353e-05,0.06,34.0,,,,,
,,,,,,,,,,1.0209,9.394463667820069e-05,0.06,35.0,,,,,
,,,,,,,,,,0.9691,9.377162629757787e-05,0.06,36.0,,,,,
,,,,,,,,,,0.9797,9.359861591695502e-05,0.06,37.0,,,,,
,,,,,,,,,,0.962,9.342560553633218e-05,0.07,38.0,,,,,
,,,,,,,,,,0.9515,9.325259515570935e-05,0.07,39.0,,,,,
,,,,,,,,,,0.9378,9.307958477508652e-05,0.07,40.0,,,,,
,,,,,,,,,,0.9289,9.290657439446367e-05,0.07,41.0,,,,,
,,,,,,,,,,0.9465,9.273356401384083e-05,0.07,42.0,,,,,
,,,,,,,,,,0.9064,9.2560553633218e-05,0.07,43.0,,,,,
,,,,,,,,,,0.8559,9.238754325259517e-05,0.08,44.0,,,,,
,,,,,,,,,,0.8662,9.221453287197233e-05,0.08,45.0,,,,,
,,,,,,,,,,0.8982,9.204152249134948e-05,0.08,46.0,,,,,
,,,,,,,,,,0.8739,9.186851211072665e-05,0.08,47.0,,,,,
,,,,,,,,,,0.8678,9.16955017301038e-05,0.08,48.0,,,,,
,,,,,,,,,,0.789,9.152249134948098e-05,0.08,49.0,,,,,
,,,,,,,,,,0.8326,9.134948096885813e-05,0.09,50.0,,,,,
,,,,,,,,,,0.7897,9.11764705882353e-05,0.09,51.0,,,,,
,,,,,,,,,,0.742,9.100346020761245e-05,0.09,52.0,,,,,
,,,,,,,,,,0.7697,9.083044982698963e-05,0.09,53.0,,,,,
,,,,,,,,,,0.8205,9.065743944636678e-05,0.09,54.0,,,,,
,,,,,,,,,,0.6105,9.048442906574395e-05,0.1,55.0,,,,,
,,,,,,,,,,0.7465,9.03114186851211e-05,0.1,56.0,,,,,
,,,,,,,,,,0.7451,9.013840830449828e-05,0.1,57.0,,,,,
,,,,,,,,,,0.6481,8.996539792387543e-05,0.1,58.0,,,,,
,,,,,,,,,,0.6615,8.97923875432526e-05,0.1,59.0,,,,,
,,,,,,,,,,0.5345,8.961937716262977e-05,0.1,60.0,,,,,
,,,,,,,,,,0.4742,8.944636678200693e-05,0.11,61.0,,,,,
,,,,,,,,,,0.5429,8.927335640138408e-05,0.11,62.0,,,,,
,,,,,,,,,,0.4958,8.910034602076125e-05,0.11,63.0,,,,,
,,,,,,,,,,0.5436,8.892733564013841e-05,0.11,64.0,,,,,
,,,,,,,,,,0.5028,8.875432525951558e-05,0.11,65.0,,,,,
,,,,,,,,,,0.5448,8.858131487889275e-05,0.11,66.0,,,,,
,,,,,,,,,,0.3513,8.84083044982699e-05,0.12,67.0,,,,,
,,,,,,,,,,0.3504,8.823529411764706e-05,0.12,68.0,,,,,
,,,,,,,,,,0.4657,8.806228373702422e-05,0.12,69.0,,,,,
,,,,,,,,,,0.3081,8.78892733564014e-05,0.12,70.0,,,,,
,,,,,,,,,,0.4283,8.771626297577855e-05,0.12,71.0,,,,,
,,,,,,,,,,0.3932,8.754325259515571e-05,0.12,72.0,,,,,
,,,,,,,,,,0.3187,8.737024221453287e-05,0.13,73.0,,,,,
,,,,,,,,,,0.3907,8.719723183391005e-05,0.13,74.0,,,,,
,,,,,,,,,,0.3733,8.70242214532872e-05,0.13,75.0,,,,,
,,,,,,,,,,0.2408,8.685121107266436e-05,0.13,76.0,,,,,
,,,,,,,,,,0.2826,8.667820069204152e-05,0.13,77.0,,,,,
,,,,,,,,,,0.1297,8.65051903114187e-05,0.13,78.0,,,,,
,,,,,,,,,,0.2196,8.633217993079585e-05,0.14,79.0,,,,,
,,,,,,,,,,0.0706,8.615916955017301e-05,0.14,80.0,,,,,
,,,,,,,,,,0.2011,8.598615916955018e-05,0.14,81.0,,,,,
,,,,,,,,,,0.4431,8.581314878892735e-05,0.14,82.0,,,,,
,,,,,,,,,,0.0433,8.56401384083045e-05,0.14,83.0,,,,,
,,,,,,,,,,0.2791,8.546712802768166e-05,0.15,84.0,,,,,
,,,,,,,,,,0.2621,8.529411764705883e-05,0.15,85.0,,,,,
,,,,,,,,,,0.3716,8.5121107266436e-05,0.15,86.0,,,,,
,,,,,,,,,,0.2068,8.494809688581316e-05,0.15,87.0,,,,,
,,,,,,,,,,0.1611,8.477508650519031e-05,0.15,88.0,,,,,
,,,,,,,,,,0.0361,8.460207612456748e-05,0.15,89.0,,,,,
,,,,,,,,,,0.1879,8.442906574394463e-05,0.16,90.0,,,,,
,,,,,,,,,,0.3507,8.425605536332181e-05,0.16,91.0,,,,,
,,,,,,,,,,0.0467,8.408304498269896e-05,0.16,92.0,,,,,
,,,,,,,,,,0.3767,8.391003460207613e-05,0.16,93.0,,,,,
,,,,,,,,,,0.2793,8.373702422145328e-05,0.16,94.0,,,,,
,,,,,,,,,,0.212,8.356401384083046e-05,0.16,95.0,,,,,
,,,,,,,,,,0.3205,8.339100346020761e-05,0.17,96.0,,,,,
,,,,,,,,,,0.3096,8.321799307958478e-05,0.17,97.0,,,,,
,,,,,,,,,,0.0253,8.304498269896193e-05,0.17,98.0,,,,,
,,,,,,,,,,0.0279,8.287197231833911e-05,0.17,99.0,,,,,
,,,,,,,,,,0.5043,8.269896193771626e-05,0.17,100.0,,,,,
,,,,,,,,,,0.2303,8.252595155709343e-05,0.17,101.0,,,,,
,,,,,,,,,,0.4651,8.23529411764706e-05,0.18,102.0,,,,,
,,,,,,,,,,0.0286,8.217993079584776e-05,0.18,103.0,,,,,
,,,,,,,,,,0.4635,8.200692041522491e-05,0.18,104.0,,,,,
,,,,,,,,,,0.1607,8.183391003460208e-05,0.18,105.0,,,,,
,,,,,,,,,,0.0459,8.166089965397924e-05,0.18,106.0,,,,,
,,,,,,,,,,0.0437,8.148788927335641e-05,0.19,107.0,,,,,
,,,,,,,,,,0.3721,8.131487889273358e-05,0.19,108.0,,,,,
,,,,,,,,,,0.1496,8.114186851211073e-05,0.19,109.0,,,,,
,,,,,,,,,,0.3023,8.09688581314879e-05,0.19,110.0,,,,,
,,,,,,,,,,0.2787,8.079584775086506e-05,0.19,111.0,,,,,
,,,,,,,,,,0.4178,8.062283737024223e-05,0.19,112.0,,,,,
,,,,,,,,,,0.0383,8.044982698961938e-05,0.2,113.0,,,,,
,,,,,,,,,,0.332,8.027681660899654e-05,0.2,114.0,,,,,
,,,,,,,,,,0.0507,8.01038062283737e-05,0.2,115.0,,,,,
,,,,,,,,,,0.2195,7.993079584775088e-05,0.2,116.0,,,,,
,,,,,,,,,,0.2345,7.975778546712803e-05,0.2,117.0,,,,,
,,,,,,,,,,0.3004,7.95847750865052e-05,0.2,118.0,,,,,
,,,,,,,,,,0.1555,7.941176470588235e-05,0.21,119.0,,,,,
