eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5662884712219238,0.22782201405152228,0.22782201405152228,0.22782201405152228,0.22782201405152228,-0.13198644900764378,"[[49, 2, 214, 15], [152, 654, 2794, 2654], [38, 85, 35, 46], [2659, 4597, 3230, 4126]]",20.2863,15.035,0.986,,,,,,,,,
,,,,,,,,,,1.5548,5.555555555555556e-06,0.02,1.0,,,,,
,,,,,,,,,,1.5886,1.1111111111111112e-05,0.03,2.0,,,,,
,,,,,,,,,,1.5909,1.6666666666666667e-05,0.05,3.0,,,,,
,,,,,,,,,,1.5905,2.2222222222222223e-05,0.07,4.0,,,,,
,,,,,,,,,,1.5909,2.777777777777778e-05,0.08,5.0,,,,,
,,,,,,,,,,1.5855,3.3333333333333335e-05,0.1,6.0,,,,,
,,,,,,,,,,1.5997,3.888888888888889e-05,0.12,7.0,,,,,
,,,,,,,,,,1.5895,4.4444444444444447e-05,0.14,8.0,,,,,
,,,,,,,,,,1.5859,5e-05,0.15,9.0,,,,,
,,,,,,,,,,1.5908,5.555555555555556e-05,0.17,10.0,,,,,
,,,,,,,,,,1.5744,6.111111111111112e-05,0.19,11.0,,,,,
,,,,,,,,,,1.5716,6.666666666666667e-05,0.2,12.0,,,,,
,,,,,,,,,,1.5701,7.222222222222222e-05,0.22,13.0,,,,,
,,,,,,,,,,1.5741,7.777777777777778e-05,0.24,14.0,,,,,
,,,,,,,,,,1.5624,8.333333333333334e-05,0.25,15.0,,,,,
,,,,,,,,,,1.5641,8.888888888888889e-05,0.27,16.0,,,,,
,,,,,,,,,,1.5525,9.444444444444444e-05,0.29,17.0,,,,,
,,,,,,,,,,1.543,0.0001,0.31,18.0,,,,,
,,,,,,,,,,1.5424,9.937106918238994e-05,0.32,19.0,,,,,
,,,,,,,,,,1.4879,9.874213836477988e-05,0.34,20.0,,,,,
,,,,,,,,,,1.5188,9.811320754716981e-05,0.36,21.0,,,,,
,,,,,,,,,,1.5194,9.748427672955975e-05,0.37,22.0,,,,,
,,,,,,,,,,1.5042,9.685534591194969e-05,0.39,23.0,,,,,
,,,,,,,,,,1.4865,9.622641509433963e-05,0.41,24.0,,,,,
,,,,,,,,,,1.4378,9.559748427672957e-05,0.42,25.0,,,,,
,,,,,,,,,,1.4844,9.496855345911951e-05,0.44,26.0,,,,,
,,,,,,,,,,1.442,9.433962264150944e-05,0.46,27.0,,,,,
,,,,,,,,,,1.4417,9.371069182389938e-05,0.47,28.0,,,,,
,,,,,,,,,,1.4329,9.308176100628931e-05,0.49,29.0,,,,,
,,,,,,,,,,1.4339,9.245283018867925e-05,0.51,30.0,,,,,
,,,,,,,,,,1.3929,9.182389937106919e-05,0.53,31.0,,,,,
,,,,,,,,,,1.406,9.119496855345912e-05,0.54,32.0,,,,,
,,,,,,,,,,1.3902,9.056603773584906e-05,0.56,33.0,,,,,
,,,,,,,,,,1.3787,8.9937106918239e-05,0.58,34.0,,,,,
,,,,,,,,,,1.3634,8.930817610062893e-05,0.59,35.0,,,,,
,,,,,,,,,,1.3364,8.867924528301888e-05,0.61,36.0,,,,,
,,,,,,,,,,1.3558,8.805031446540882e-05,0.63,37.0,,,,,
,,,,,,,,,,1.3163,8.742138364779875e-05,0.64,38.0,,,,,
,,,,,,,,,,1.3074,8.679245283018869e-05,0.66,39.0,,,,,
,,,,,,,,,,1.2363,8.616352201257863e-05,0.68,40.0,,,,,
,,,,,,,,,,1.1691,8.553459119496856e-05,0.69,41.0,,,,,
,,,,,,,,,,1.1971,8.49056603773585e-05,0.71,42.0,,,,,
,,,,,,,,,,1.2276,8.427672955974843e-05,0.73,43.0,,,,,
,,,,,,,,,,1.1927,8.364779874213837e-05,0.75,44.0,,,,,
,,,,,,,,,,1.1004,8.30188679245283e-05,0.76,45.0,,,,,
,,,,,,,,,,1.0891,8.238993710691824e-05,0.78,46.0,,,,,
,,,,,,,,,,1.03,8.176100628930818e-05,0.8,47.0,,,,,
,,,,,,,,,,1.0004,8.113207547169813e-05,0.81,48.0,,,,,
,,,,,,,,,,0.9707,8.050314465408806e-05,0.83,49.0,,,,,
,,,,,,,,,,0.896,7.9874213836478e-05,0.85,50.0,,,,,
0.8526263236999512,0.9558782201405153,0.9558782201405153,0.9558782201405153,0.9558782201405153,0.92712276261399,"[[1, 0, 12, 267], [2, 6179, 4, 69], [2, 36, 17, 149], [42, 294, 65, 14211]]",18.6627,16.343,1.072,,,0.85,50.0,,,,,
,,,,,,,,,,0.8877,7.924528301886794e-05,0.86,51.0,,,,,
,,,,,,,,,,0.7629,7.861635220125787e-05,0.88,52.0,,,,,
,,,,,,,,,,0.768,7.798742138364781e-05,0.9,53.0,,,,,
,,,,,,,,,,0.801,7.735849056603774e-05,0.92,54.0,,,,,
,,,,,,,,,,0.6382,7.672955974842768e-05,0.93,55.0,,,,,
,,,,,,,,,,0.5613,7.610062893081762e-05,0.95,56.0,,,,,
,,,,,,,,,,0.6555,7.547169811320755e-05,0.97,57.0,,,,,
,,,,,,,,,,0.4506,7.484276729559749e-05,0.98,58.0,,,,,
,,,,,,,,,,0.2592,7.421383647798742e-05,1.0,59.0,,,,,
,,,,,,,,,,0.379,7.358490566037736e-05,1.02,60.0,,,,,
,,,,,,,,,,0.4283,7.29559748427673e-05,1.03,61.0,,,,,
,,,,,,,,,,0.3495,7.232704402515723e-05,1.05,62.0,,,,,
,,,,,,,,,,0.3327,7.169811320754717e-05,1.07,63.0,,,,,
,,,,,,,,,,0.2737,7.10691823899371e-05,1.08,64.0,,,,,
,,,,,,,,,,0.2437,7.044025157232704e-05,1.1,65.0,,,,,
,,,,,,,,,,0.2238,6.981132075471698e-05,1.12,66.0,,,,,
,,,,,,,,,,0.2051,6.918238993710691e-05,1.14,67.0,,,,,
,,,,,,,,,,0.3674,6.855345911949685e-05,1.15,68.0,,,,,
,,,,,,,,,,0.1884,6.79245283018868e-05,1.17,69.0,,,,,
,,,,,,,,,,0.2878,6.729559748427673e-05,1.19,70.0,,,,,
,,,,,,,,,,0.2717,6.666666666666667e-05,1.2,71.0,,,,,
,,,,,,,,,,0.2264,6.60377358490566e-05,1.22,72.0,,,,,
,,,,,,,,,,0.14,6.540880503144654e-05,1.24,73.0,,,,,
,,,,,,,,,,0.1785,6.477987421383648e-05,1.25,74.0,,,,,
,,,,,,,,,,0.1101,6.415094339622641e-05,1.27,75.0,,,,,
,,,,,,,,,,0.1971,6.352201257861635e-05,1.29,76.0,,,,,
,,,,,,,,,,0.2801,6.289308176100629e-05,1.31,77.0,,,,,
,,,,,,,,,,0.0973,6.226415094339622e-05,1.32,78.0,,,,,
,,,,,,,,,,0.1751,6.163522012578616e-05,1.34,79.0,,,,,
,,,,,,,,,,0.1557,6.10062893081761e-05,1.36,80.0,,,,,
,,,,,,,,,,0.2279,6.037735849056604e-05,1.37,81.0,,,,,
,,,,,,,,,,0.0757,5.974842767295597e-05,1.39,82.0,,,,,
,,,,,,,,,,0.0677,5.9119496855345916e-05,1.41,83.0,,,,,
,,,,,,,,,,0.2011,5.849056603773585e-05,1.42,84.0,,,,,
,,,,,,,,,,0.1431,5.786163522012579e-05,1.44,85.0,,,,,
,,,,,,,,,,0.1741,5.7232704402515724e-05,1.46,86.0,,,,,
,,,,,,,,,,0.1078,5.660377358490566e-05,1.47,87.0,,,,,
,,,,,,,,,,0.0518,5.5974842767295596e-05,1.49,88.0,,,,,
,,,,,,,,,,0.0542,5.534591194968554e-05,1.51,89.0,,,,,
,,,,,,,,,,0.2133,5.4716981132075475e-05,1.53,90.0,,,,,
,,,,,,,,,,0.2317,5.408805031446541e-05,1.54,91.0,,,,,
