eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5662884712219238,0.22782201405152228,0.22782201405152228,0.22782201405152228,0.22782201405152228,-0.13198644900764378,"[[49, 2, 214, 15], [152, 654, 2794, 2654], [38, 85, 35, 46], [2659, 4597, 3230, 4126]]",20.0762,15.192,0.996,,,,,,,,,
,,,,,,,,,,1.5548,9.943502824858758e-05,0.02,1.0,,,,,
,,,,,,,,,,1.5829,9.887005649717515e-05,0.03,2.0,,,,,
,,,,,,,,,,1.5791,9.830508474576272e-05,0.05,3.0,,,,,
,,,,,,,,,,1.5743,9.774011299435028e-05,0.07,4.0,,,,,
,,,,,,,,,,1.5686,9.717514124293787e-05,0.08,5.0,,,,,
,,,,,,,,,,1.5595,9.661016949152543e-05,0.1,6.0,,,,,
,,,,,,,,,,1.5655,9.6045197740113e-05,0.12,7.0,,,,,
,,,,,,,,,,1.5508,9.548022598870057e-05,0.14,8.0,,,,,
,,,,,,,,,,1.5459,9.491525423728815e-05,0.15,9.0,,,,,
,,,,,,,,,,1.5469,9.43502824858757e-05,0.17,10.0,,,,,
,,,,,,,,,,1.5265,9.378531073446328e-05,0.19,11.0,,,,,
,,,,,,,,,,1.5193,9.322033898305085e-05,0.2,12.0,,,,,
,,,,,,,,,,1.5117,9.265536723163842e-05,0.22,13.0,,,,,
,,,,,,,,,,1.5181,9.2090395480226e-05,0.24,14.0,,,,,
,,,,,,,,,,1.5026,9.152542372881357e-05,0.25,15.0,,,,,
,,,,,,,,,,1.495,9.096045197740113e-05,0.27,16.0,,,,,
,,,,,,,,,,1.4862,9.03954802259887e-05,0.29,17.0,,,,,
,,,,,,,,,,1.474,8.983050847457629e-05,0.31,18.0,,,,,
,,,,,,,,,,1.4713,8.926553672316384e-05,0.32,19.0,,,,,
,,,,,,,,,,1.4083,8.870056497175142e-05,0.34,20.0,,,,,
,,,,,,,,,,1.4413,8.813559322033899e-05,0.36,21.0,,,,,
,,,,,,,,,,1.4486,8.757062146892656e-05,0.37,22.0,,,,,
,,,,,,,,,,1.4318,8.700564971751412e-05,0.39,23.0,,,,,
,,,,,,,,,,1.3963,8.644067796610171e-05,0.41,24.0,,,,,
,,,,,,,,,,1.3531,8.587570621468927e-05,0.42,25.0,,,,,
,,,,,,,,,,1.4016,8.531073446327684e-05,0.44,26.0,,,,,
,,,,,,,,,,1.3481,8.474576271186441e-05,0.46,27.0,,,,,
,,,,,,,,,,1.3528,8.418079096045199e-05,0.47,28.0,,,,,
,,,,,,,,,,1.3339,8.361581920903954e-05,0.49,29.0,,,,,
,,,,,,,,,,1.3368,8.305084745762712e-05,0.51,30.0,,,,,
,,,,,,,,,,1.2963,8.248587570621469e-05,0.53,31.0,,,,,
