eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.3807939291000366,0.32537960954446854,0.32537960954446854,0.32537960954446854,0.32537960954446854,0.0,"[[1005, 605, 152, 1313], [205, 304, 55, 115], [145, 69, 32, 59], [24, 55, 2, 9]]",244.6173,16.961,1.063,,,,,,,,,
,,,,,,,,,,1.3855,9.987163029525033e-05,0.0,1.0,,,,,
,,,,,,,,,,1.3632,9.974326059050065e-05,0.0,2.0,,,,,
,,,,,,,,,,1.3435,9.961489088575097e-05,0.0,3.0,,,,,
,,,,,,,,,,1.3451,9.948652118100129e-05,0.01,4.0,,,,,
,,,,,,,,,,1.2983,9.93581514762516e-05,0.01,5.0,,,,,
,,,,,,,,,,1.281,9.922978177150193e-05,0.01,6.0,,,,,
,,,,,,,,,,1.2828,9.910141206675225e-05,0.01,7.0,,,,,
,,,,,,,,,,1.2724,9.897304236200258e-05,0.01,8.0,,,,,
,,,,,,,,,,1.2211,9.884467265725289e-05,0.01,9.0,,,,,
,,,,,,,,,,1.2165,9.871630295250322e-05,0.01,10.0,,,,,
,,,,,,,,,,1.2441,9.858793324775354e-05,0.01,11.0,,,,,
,,,,,,,,,,1.1814,9.845956354300385e-05,0.02,12.0,,,,,
,,,,,,,,,,1.1665,9.833119383825418e-05,0.02,13.0,,,,,
,,,,,,,,,,1.2132,9.82028241335045e-05,0.02,14.0,,,,,
,,,,,,,,,,1.0946,9.807445442875481e-05,0.02,15.0,,,,,
,,,,,,,,,,1.1535,9.794608472400514e-05,0.02,16.0,,,,,
,,,,,,,,,,1.2206,9.781771501925546e-05,0.02,17.0,,,,,
,,,,,,,,,,1.1373,9.768934531450578e-05,0.02,18.0,,,,,
,,,,,,,,,,1.1425,9.75609756097561e-05,0.02,19.0,,,,,
,,,,,,,,,,1.05,9.743260590500642e-05,0.03,20.0,,,,,
,,,,,,,,,,1.0393,9.730423620025674e-05,0.03,21.0,,,,,
,,,,,,,,,,0.9934,9.717586649550706e-05,0.03,22.0,,,,,
,,,,,,,,,,1.0509,9.704749679075738e-05,0.03,23.0,,,,,
,,,,,,,,,,1.0849,9.69191270860077e-05,0.03,24.0,,,,,
,,,,,,,,,,0.8824,9.679075738125802e-05,0.03,25.0,,,,,
,,,,,,,,,,0.9046,9.666238767650834e-05,0.03,26.0,,,,,
,,,,,,,,,,0.9401,9.653401797175868e-05,0.03,27.0,,,,,
,,,,,,,,,,1.0434,9.640564826700899e-05,0.04,28.0,,,,,
,,,,,,,,,,0.9304,9.62772785622593e-05,0.04,29.0,,,,,
,,,,,,,,,,0.8898,9.614890885750964e-05,0.04,30.0,,,,,
,,,,,,,,,,0.8369,9.602053915275996e-05,0.04,31.0,,,,,
,,,,,,,,,,0.965,9.589216944801027e-05,0.04,32.0,,,,,
,,,,,,,,,,0.7587,9.57637997432606e-05,0.04,33.0,,,,,
,,,,,,,,,,0.8424,9.563543003851092e-05,0.04,34.0,,,,,
,,,,,,,,,,0.7591,9.550706033376124e-05,0.04,35.0,,,,,
,,,,,,,,,,0.612,9.537869062901156e-05,0.05,36.0,,,,,
,,,,,,,,,,0.5432,9.525032092426188e-05,0.05,37.0,,,,,
,,,,,,,,,,0.8474,9.51219512195122e-05,0.05,38.0,,,,,
,,,,,,,,,,0.7653,9.499358151476252e-05,0.05,39.0,,,,,
,,,,,,,,,,0.4194,9.486521181001284e-05,0.05,40.0,,,,,
