eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.814070701599121,0.1367873226085165,0.1367873226085165,0.1367873226085165,0.1367873226085165,0.008108415582656122,"[[19480, 34290, 29588, 52698, 32866, 33890], [87, 390, 1109, 1727, 982, 1959], [841, 902, 948, 1307, 1016, 2295], [5778, 11220, 6151, 14514, 7246, 9353], [258, 1498, 4594, 3088, 3536, 3078], [70, 643, 271, 795, 622, 772]]",253.5947,16.361,1.025,,,,,,,,,
,,,,,,,,,,1.7958,9.987163029525033e-05,0.0,1.0,,,,,
,,,,,,,,,,1.8392,9.974326059050065e-05,0.0,2.0,,,,,
,,,,,,,,,,1.793,9.961489088575097e-05,0.0,3.0,,,,,
,,,,,,,,,,1.8085,9.948652118100129e-05,0.01,4.0,,,,,
,,,,,,,,,,1.7992,9.93581514762516e-05,0.01,5.0,,,,,
,,,,,,,,,,1.8047,9.922978177150193e-05,0.01,6.0,,,,,
,,,,,,,,,,1.8103,9.910141206675225e-05,0.01,7.0,,,,,
,,,,,,,,,,1.7958,9.897304236200258e-05,0.01,8.0,,,,,
,,,,,,,,,,1.7858,9.884467265725289e-05,0.01,9.0,,,,,
,,,,,,,,,,1.7948,9.871630295250322e-05,0.01,10.0,,,,,
,,,,,,,,,,1.7828,9.858793324775354e-05,0.01,11.0,,,,,
,,,,,,,,,,1.788,9.845956354300385e-05,0.02,12.0,,,,,
,,,,,,,,,,1.7838,9.833119383825418e-05,0.02,13.0,,,,,
,,,,,,,,,,1.7626,9.82028241335045e-05,0.02,14.0,,,,,
,,,,,,,,,,1.7835,9.807445442875481e-05,0.02,15.0,,,,,
,,,,,,,,,,1.7603,9.794608472400514e-05,0.02,16.0,,,,,
,,,,,,,,,,1.7685,9.781771501925546e-05,0.02,17.0,,,,,
,,,,,,,,,,1.7521,9.768934531450578e-05,0.02,18.0,,,,,
,,,,,,,,,,1.7591,9.75609756097561e-05,0.02,19.0,,,,,
,,,,,,,,,,1.7549,9.743260590500642e-05,0.03,20.0,,,,,
,,,,,,,,,,1.7641,9.730423620025674e-05,0.03,21.0,,,,,
,,,,,,,,,,1.7284,9.717586649550706e-05,0.03,22.0,,,,,
,,,,,,,,,,1.7406,9.704749679075738e-05,0.03,23.0,,,,,
,,,,,,,,,,1.7403,9.69191270860077e-05,0.03,24.0,,,,,
,,,,,,,,,,1.7281,9.679075738125802e-05,0.03,25.0,,,,,
,,,,,,,,,,1.7133,9.666238767650834e-05,0.03,26.0,,,,,
,,,,,,,,,,1.7321,9.653401797175868e-05,0.03,27.0,,,,,
,,,,,,,,,,1.6989,9.640564826700899e-05,0.04,28.0,,,,,
,,,,,,,,,,1.7125,9.62772785622593e-05,0.04,29.0,,,,,
,,,,,,,,,,1.709,9.614890885750964e-05,0.04,30.0,,,,,
,,,,,,,,,,1.7034,9.602053915275996e-05,0.04,31.0,,,,,
,,,,,,,,,,1.7112,9.589216944801027e-05,0.04,32.0,,,,,
,,,,,,,,,,1.6788,9.57637997432606e-05,0.04,33.0,,,,,
,,,,,,,,,,1.6794,9.563543003851092e-05,0.04,34.0,,,,,
,,,,,,,,,,1.6654,9.550706033376124e-05,0.04,35.0,,,,,
,,,,,,,,,,1.6735,9.537869062901156e-05,0.05,36.0,,,,,
,,,,,,,,,,1.6315,9.525032092426188e-05,0.05,37.0,,,,,
,,,,,,,,,,1.6807,9.51219512195122e-05,0.05,38.0,,,,,
,,,,,,,,,,1.6772,9.499358151476252e-05,0.05,39.0,,,,,
,,,,,,,,,,1.592,9.486521181001284e-05,0.05,40.0,,,,,
,,,,,,,,,,1.6401,9.473684210526316e-05,0.05,41.0,,,,,
,,,,,,,,,,1.627,9.460847240051348e-05,0.05,42.0,,,,,
,,,,,,,,,,1.6136,9.44801026957638e-05,0.06,43.0,,,,,
,,,,,,,,,,1.6799,9.435173299101414e-05,0.06,44.0,,,,,
,,,,,,,,,,1.5934,9.422336328626444e-05,0.06,45.0,,,,,
,,,,,,,,,,1.5875,9.409499358151476e-05,0.06,46.0,,,,,
,,,,,,,,,,1.5938,9.39666238767651e-05,0.06,47.0,,,,,
,,,,,,,,,,1.5778,9.38382541720154e-05,0.06,48.0,,,,,
,,,,,,,,,,1.6162,9.370988446726572e-05,0.06,49.0,,,,,
,,,,,,,,,,1.565,9.358151476251606e-05,0.06,50.0,,,,,
,,,,,,,,,,1.5077,9.345314505776636e-05,0.07,51.0,,,,,
,,,,,,,,,,1.4662,9.33247753530167e-05,0.07,52.0,,,,,
,,,,,,,,,,1.492,9.319640564826702e-05,0.07,53.0,,,,,
,,,,,,,,,,1.4778,9.306803594351734e-05,0.07,54.0,,,,,
,,,,,,,,,,1.4864,9.293966623876766e-05,0.07,55.0,,,,,
,,,,,,,,,,1.4022,9.281129653401798e-05,0.07,56.0,,,,,
,,,,,,,,,,1.4603,9.26829268292683e-05,0.07,57.0,,,,,
,,,,,,,,,,1.4969,9.255455712451862e-05,0.07,58.0,,,,,
,,,,,,,,,,1.3565,9.242618741976894e-05,0.08,59.0,,,,,
,,,,,,,,,,1.3821,9.229781771501926e-05,0.08,60.0,,,,,
,,,,,,,,,,1.3174,9.216944801026958e-05,0.08,61.0,,,,,
,,,,,,,,,,1.2476,9.20410783055199e-05,0.08,62.0,,,,,
,,,,,,,,,,1.2635,9.191270860077022e-05,0.08,63.0,,,,,
,,,,,,,,,,1.2736,9.178433889602054e-05,0.08,64.0,,,,,
,,,,,,,,,,1.2952,9.165596919127086e-05,0.08,65.0,,,,,
,,,,,,,,,,1.2009,9.152759948652118e-05,0.08,66.0,,,,,
,,,,,,,,,,1.1083,9.139922978177152e-05,0.09,67.0,,,,,
,,,,,,,,,,1.0873,9.127086007702182e-05,0.09,68.0,,,,,
,,,,,,,,,,1.1916,9.114249037227216e-05,0.09,69.0,,,,,
,,,,,,,,,,1.2468,9.101412066752248e-05,0.09,70.0,,,,,
,,,,,,,,,,1.3165,9.088575096277278e-05,0.09,71.0,,,,,
,,,,,,,,,,1.1255,9.075738125802312e-05,0.09,72.0,,,,,
,,,,,,,,,,1.0637,9.062901155327344e-05,0.09,73.0,,,,,
,,,,,,,,,,0.8295,9.050064184852374e-05,0.09,74.0,,,,,
,,,,,,,,,,0.8254,9.037227214377408e-05,0.1,75.0,,,,,
,,,,,,,,,,0.9178,9.02439024390244e-05,0.1,76.0,,,,,
,,,,,,,,,,0.9529,9.01155327342747e-05,0.1,77.0,,,,,
,,,,,,,,,,1.0637,8.998716302952504e-05,0.1,78.0,,,,,
,,,,,,,,,,0.507,8.985879332477536e-05,0.1,79.0,,,,,
,,,,,,,,,,1.2197,8.973042362002568e-05,0.1,80.0,,,,,
,,,,,,,,,,1.0992,8.9602053915276e-05,0.1,81.0,,,,,
,,,,,,,,,,0.6303,8.947368421052632e-05,0.11,82.0,,,,,
,,,,,,,,,,1.0398,8.934531450577664e-05,0.11,83.0,,,,,
,,,,,,,,,,0.9162,8.921694480102696e-05,0.11,84.0,,,,,
,,,,,,,,,,1.052,8.908857509627728e-05,0.11,85.0,,,,,
,,,,,,,,,,1.0532,8.896020539152761e-05,0.11,86.0,,,,,
,,,,,,,,,,0.7883,8.883183568677792e-05,0.11,87.0,,,,,
,,,,,,,,,,0.8926,8.870346598202824e-05,0.11,88.0,,,,,
,,,,,,,,,,0.8832,8.857509627727857e-05,0.11,89.0,,,,,
,,,,,,,,,,0.9569,8.84467265725289e-05,0.12,90.0,,,,,
,,,,,,,,,,0.522,8.83183568677792e-05,0.12,91.0,,,,,
,,,,,,,,,,0.6659,8.818998716302953e-05,0.12,92.0,,,,,
,,,,,,,,,,0.5904,8.806161745827985e-05,0.12,93.0,,,,,
,,,,,,,,,,0.7916,8.793324775353016e-05,0.12,94.0,,,,,
,,,,,,,,,,0.8914,8.78048780487805e-05,0.12,95.0,,,,,
,,,,,,,,,,1.1527,8.767650834403082e-05,0.12,96.0,,,,,
,,,,,,,,,,1.05,8.754813863928114e-05,0.12,97.0,,,,,
,,,,,,,,,,0.2795,8.741976893453146e-05,0.13,98.0,,,,,
,,,,,,,,,,0.6363,8.729139922978178e-05,0.13,99.0,,,,,
,,,,,,,,,,0.6778,8.71630295250321e-05,0.13,100.0,,,,,
,,,,,,,,,,0.818,8.703465982028242e-05,0.13,101.0,,,,,
,,,,,,,,,,0.9397,8.690629011553274e-05,0.13,102.0,,,,,
,,,,,,,,,,0.3103,8.677792041078307e-05,0.13,103.0,,,,,
,,,,,,,,,,0.7943,8.664955070603338e-05,0.13,104.0,,,,,
,,,,,,,,,,0.7566,8.65211810012837e-05,0.13,105.0,,,,,
,,,,,,,,,,0.7647,8.639281129653403e-05,0.14,106.0,,,,,
,,,,,,,,,,0.411,8.626444159178434e-05,0.14,107.0,,,,,
,,,,,,,,,,0.418,8.613607188703466e-05,0.14,108.0,,,,,
,,,,,,,,,,0.7755,8.600770218228499e-05,0.14,109.0,,,,,
,,,,,,,,,,0.4488,8.58793324775353e-05,0.14,110.0,,,,,
,,,,,,,,,,1.0023,8.575096277278562e-05,0.14,111.0,,,,,
,,,,,,,,,,0.8071,8.562259306803595e-05,0.14,112.0,,,,,
,,,,,,,,,,0.5768,8.549422336328626e-05,0.15,113.0,,,,,
,,,,,,,,,,0.5627,8.53658536585366e-05,0.15,114.0,,,,,
,,,,,,,,,,0.6181,8.523748395378691e-05,0.15,115.0,,,,,
,,,,,,,,,,0.2852,8.510911424903723e-05,0.15,116.0,,,,,
,,,,,,,,,,0.621,8.498074454428755e-05,0.15,117.0,,,,,
,,,,,,,,,,0.3351,8.485237483953787e-05,0.15,118.0,,,,,
,,,,,,,,,,0.6113,8.47240051347882e-05,0.15,119.0,,,,,
,,,,,,,,,,0.407,8.459563543003851e-05,0.15,120.0,,,,,
,,,,,,,,,,0.1525,8.446726572528884e-05,0.16,121.0,,,,,
,,,,,,,,,,0.5849,8.433889602053916e-05,0.16,122.0,,,,,
,,,,,,,,,,0.7149,8.421052631578948e-05,0.16,123.0,,,,,
,,,,,,,,,,0.3363,8.40821566110398e-05,0.16,124.0,,,,,
,,,,,,,,,,0.4482,8.395378690629012e-05,0.16,125.0,,,,,
,,,,,,,,,,0.5003,8.382541720154045e-05,0.16,126.0,,,,,
,,,,,,,,,,0.3015,8.369704749679076e-05,0.16,127.0,,,,,
,,,,,,,,,,0.1339,8.356867779204108e-05,0.16,128.0,,,,,
,,,,,,,,,,0.4206,8.344030808729141e-05,0.17,129.0,,,,,
,,,,,,,,,,0.6408,8.331193838254172e-05,0.17,130.0,,,,,
,,,,,,,,,,0.4587,8.318356867779205e-05,0.17,131.0,,,,,
,,,,,,,,,,0.5803,8.305519897304237e-05,0.17,132.0,,,,,
,,,,,,,,,,0.8428,8.292682926829268e-05,0.17,133.0,,,,,
,,,,,,,,,,0.2805,8.279845956354301e-05,0.17,134.0,,,,,
,,,,,,,,,,0.7172,8.267008985879333e-05,0.17,135.0,,,,,
,,,,,,,,,,0.6905,8.254172015404364e-05,0.17,136.0,,,,,
,,,,,,,,,,0.7015,8.241335044929397e-05,0.18,137.0,,,,,
,,,,,,,,,,0.26,8.228498074454429e-05,0.18,138.0,,,,,
,,,,,,,,,,0.7164,8.215661103979461e-05,0.18,139.0,,,,,
,,,,,,,,,,0.4212,8.202824133504493e-05,0.18,140.0,,,,,
,,,,,,,,,,0.7381,8.189987163029525e-05,0.18,141.0,,,,,
,,,,,,,,,,0.5683,8.177150192554557e-05,0.18,142.0,,,,,
,,,,,,,,,,0.416,8.16431322207959e-05,0.18,143.0,,,,,
,,,,,,,,,,0.3099,8.151476251604621e-05,0.18,144.0,,,,,
,,,,,,,,,,0.6591,8.138639281129655e-05,0.19,145.0,,,,,
,,,,,,,,,,0.5183,8.125802310654685e-05,0.19,146.0,,,,,
,,,,,,,,,,0.507,8.112965340179717e-05,0.19,147.0,,,,,
,,,,,,,,,,0.6023,8.100128369704751e-05,0.19,148.0,,,,,
,,,,,,,,,,0.4427,8.087291399229782e-05,0.19,149.0,,,,,
,,,,,,,,,,0.5749,8.074454428754814e-05,0.19,150.0,,,,,
,,,,,,,,,,0.3065,8.061617458279847e-05,0.19,151.0,,,,,
,,,,,,,,,,0.5456,8.048780487804879e-05,0.2,152.0,,,,,
,,,,,,,,,,0.5837,8.03594351732991e-05,0.2,153.0,,,,,
,,,,,,,,,,0.3089,8.023106546854943e-05,0.2,154.0,,,,,
,,,,,,,,,,0.4287,8.010269576379975e-05,0.2,155.0,,,,,
,,,,,,,,,,0.6057,7.997432605905007e-05,0.2,156.0,,,,,
,,,,,,,,,,0.4467,7.984595635430039e-05,0.2,157.0,,,,,
,,,,,,,,,,0.2278,7.971758664955071e-05,0.2,158.0,,,,,
,,,,,,,,,,0.5734,7.958921694480103e-05,0.2,159.0,,,,,
,,,,,,,,,,0.2744,7.946084724005135e-05,0.21,160.0,,,,,
,,,,,,,,,,0.5286,7.933247753530167e-05,0.21,161.0,,,,,
,,,,,,,,,,0.5755,7.9204107830552e-05,0.21,162.0,,,,,
,,,,,,,,,,0.3321,7.907573812580231e-05,0.21,163.0,,,,,
,,,,,,,,,,0.444,7.894736842105263e-05,0.21,164.0,,,,,
,,,,,,,,,,0.4447,7.881899871630297e-05,0.21,165.0,,,,,
,,,,,,,,,,0.5909,7.869062901155327e-05,0.21,166.0,,,,,
,,,,,,,,,,0.1721,7.85622593068036e-05,0.21,167.0,,,,,
,,,,,,,,,,0.2785,7.843388960205393e-05,0.22,168.0,,,,,
,,,,,,,,,,0.2723,7.830551989730423e-05,0.22,169.0,,,,,
,,,,,,,,,,0.3927,7.817715019255455e-05,0.22,170.0,,,,,
,,,,,,,,,,0.1911,7.804878048780489e-05,0.22,171.0,,,,,
,,,,,,,,,,0.2314,7.79204107830552e-05,0.22,172.0,,,,,
,,,,,,,,,,0.3505,7.779204107830553e-05,0.22,173.0,,,,,
,,,,,,,,,,0.2782,7.766367137355585e-05,0.22,174.0,,,,,
,,,,,,,,,,0.2284,7.753530166880617e-05,0.22,175.0,,,,,
,,,,,,,,,,0.2256,7.740693196405649e-05,0.23,176.0,,,,,
,,,,,,,,,,0.3347,7.727856225930681e-05,0.23,177.0,,,,,
,,,,,,,,,,0.2161,7.715019255455713e-05,0.23,178.0,,,,,
,,,,,,,,,,0.0781,7.702182284980745e-05,0.23,179.0,,,,,
,,,,,,,,,,0.272,7.689345314505777e-05,0.23,180.0,,,,,
,,,,,,,,,,0.4548,7.676508344030809e-05,0.23,181.0,,,,,
,,,,,,,,,,0.136,7.663671373555841e-05,0.23,182.0,,,,,
,,,,,,,,,,0.2389,7.650834403080873e-05,0.23,183.0,,,,,
,,,,,,,,,,0.1874,7.637997432605905e-05,0.24,184.0,,,,,
,,,,,,,,,,0.3299,7.625160462130937e-05,0.24,185.0,,,,,
,,,,,,,,,,0.2237,7.612323491655969e-05,0.24,186.0,,,,,
,,,,,,,,,,0.1775,7.599486521181001e-05,0.24,187.0,,,,,
,,,,,,,,,,0.4682,7.586649550706035e-05,0.24,188.0,,,,,
,,,,,,,,,,0.5813,7.573812580231065e-05,0.24,189.0,,,,,
,,,,,,,,,,0.2511,7.560975609756099e-05,0.24,190.0,,,,,
,,,,,,,,,,0.2392,7.54813863928113e-05,0.25,191.0,,,,,
,,,,,,,,,,0.4604,7.535301668806161e-05,0.25,192.0,,,,,
,,,,,,,,,,0.3058,7.522464698331195e-05,0.25,193.0,,,,,
,,,,,,,,,,0.494,7.509627727856227e-05,0.25,194.0,,,,,
,,,,,,,,,,0.2648,7.496790757381257e-05,0.25,195.0,,,,,
,,,,,,,,,,0.0744,7.483953786906291e-05,0.25,196.0,,,,,
,,,,,,,,,,0.1464,7.471116816431323e-05,0.25,197.0,,,,,
,,,,,,,,,,0.2549,7.458279845956355e-05,0.25,198.0,,,,,
,,,,,,,,,,0.725,7.445442875481387e-05,0.26,199.0,,,,,
,,,,,,,,,,0.1546,7.432605905006419e-05,0.26,200.0,,,,,
,,,,,,,,,,0.1374,7.419768934531451e-05,0.26,201.0,,,,,
,,,,,,,,,,0.2159,7.406931964056483e-05,0.26,202.0,,,,,
,,,,,,,,,,0.2941,7.394094993581515e-05,0.26,203.0,,,,,
,,,,,,,,,,0.1435,7.381258023106547e-05,0.26,204.0,,,,,
,,,,,,,,,,0.3423,7.368421052631579e-05,0.26,205.0,,,,,
,,,,,,,,,,0.2992,7.355584082156611e-05,0.26,206.0,,,,,
,,,,,,,,,,0.5791,7.342747111681644e-05,0.27,207.0,,,,,
,,,,,,,,,,0.0544,7.329910141206675e-05,0.27,208.0,,,,,
,,,,,,,,,,0.2594,7.317073170731707e-05,0.27,209.0,,,,,
,,,,,,,,,,0.3318,7.30423620025674e-05,0.27,210.0,,,,,
,,,,,,,,,,0.263,7.291399229781772e-05,0.27,211.0,,,,,
,,,,,,,,,,0.2095,7.278562259306803e-05,0.27,212.0,,,,,
,,,,,,,,,,0.1701,7.265725288831836e-05,0.27,213.0,,,,,
,,,,,,,,,,0.2902,7.252888318356869e-05,0.27,214.0,,,,,
,,,,,,,,,,0.1953,7.2400513478819e-05,0.28,215.0,,,,,
,,,,,,,,,,0.2484,7.227214377406933e-05,0.28,216.0,,,,,
,,,,,,,,,,0.2757,7.214377406931965e-05,0.28,217.0,,,,,
,,,,,,,,,,0.2022,7.201540436456997e-05,0.28,218.0,,,,,
,,,,,,,,,,0.1093,7.188703465982029e-05,0.28,219.0,,,,,
,,,,,,,,,,0.1523,7.17586649550706e-05,0.28,220.0,,,,,
,,,,,,,,,,0.095,7.163029525032093e-05,0.28,221.0,,,,,
,,,,,,,,,,0.102,7.150192554557125e-05,0.28,222.0,,,,,
,,,,,,,,,,0.3307,7.137355584082157e-05,0.29,223.0,,,,,
,,,,,,,,,,0.2968,7.12451861360719e-05,0.29,224.0,,,,,
,,,,,,,,,,0.2238,7.111681643132221e-05,0.29,225.0,,,,,
,,,,,,,,,,0.2009,7.098844672657253e-05,0.29,226.0,,,,,
,,,,,,,,,,0.2516,7.086007702182286e-05,0.29,227.0,,,,,
,,,,,,,,,,0.0957,7.073170731707317e-05,0.29,228.0,,,,,
,,,,,,,,,,0.0422,7.060333761232349e-05,0.29,229.0,,,,,
,,,,,,,,,,0.1886,7.047496790757382e-05,0.3,230.0,,,,,
,,,,,,,,,,0.0353,7.034659820282413e-05,0.3,231.0,,,,,
,,,,,,,,,,0.1188,7.021822849807446e-05,0.3,232.0,,,,,
,,,,,,,,,,0.192,7.008985879332478e-05,0.3,233.0,,,,,
,,,,,,,,,,0.3062,6.99614890885751e-05,0.3,234.0,,,,,
,,,,,,,,,,0.0421,6.983311938382542e-05,0.3,235.0,,,,,
,,,,,,,,,,0.2289,6.970474967907574e-05,0.3,236.0,,,,,
,,,,,,,,,,0.2073,6.957637997432606e-05,0.3,237.0,,,,,
,,,,,,,,,,0.0808,6.944801026957638e-05,0.31,238.0,,,,,
,,,,,,,,,,0.3233,6.93196405648267e-05,0.31,239.0,,,,,
,,,,,,,,,,0.4029,6.919127086007702e-05,0.31,240.0,,,,,
,,,,,,,,,,0.1467,6.906290115532735e-05,0.31,241.0,,,,,
,,,,,,,,,,0.1804,6.893453145057767e-05,0.31,242.0,,,,,
,,,,,,,,,,0.2904,6.880616174582799e-05,0.31,243.0,,,,,
,,,,,,,,,,0.2663,6.86777920410783e-05,0.31,244.0,,,,,
,,,,,,,,,,0.1547,6.854942233632863e-05,0.31,245.0,,,,,
,,,,,,,,,,0.1114,6.842105263157895e-05,0.32,246.0,,,,,
,,,,,,,,,,0.3794,6.829268292682928e-05,0.32,247.0,,,,,
,,,,,,,,,,0.2964,6.816431322207959e-05,0.32,248.0,,,,,
,,,,,,,,,,0.079,6.803594351732992e-05,0.32,249.0,,,,,
,,,,,,,,,,0.0814,6.790757381258024e-05,0.32,250.0,,,,,
,,,,,,,,,,0.0919,6.777920410783055e-05,0.32,251.0,,,,,
,,,,,,,,,,0.1253,6.765083440308088e-05,0.32,252.0,,,,,
,,,,,,,,,,0.1243,6.75224646983312e-05,0.32,253.0,,,,,
,,,,,,,,,,0.1292,6.739409499358151e-05,0.33,254.0,,,,,
,,,,,,,,,,0.429,6.726572528883184e-05,0.33,255.0,,,,,
,,,,,,,,,,0.1388,6.713735558408216e-05,0.33,256.0,,,,,
,,,,,,,,,,0.2512,6.700898587933247e-05,0.33,257.0,,,,,
,,,,,,,,,,0.0991,6.68806161745828e-05,0.33,258.0,,,,,
,,,,,,,,,,0.1295,6.675224646983312e-05,0.33,259.0,,,,,
,,,,,,,,,,0.1735,6.662387676508344e-05,0.33,260.0,,,,,
,,,,,,,,,,0.1407,6.649550706033376e-05,0.34,261.0,,,,,
,,,,,,,,,,0.364,6.636713735558408e-05,0.34,262.0,,,,,
,,,,,,,,,,0.2118,6.62387676508344e-05,0.34,263.0,,,,,
,,,,,,,,,,0.1999,6.611039794608472e-05,0.34,264.0,,,,,
,,,,,,,,,,0.0669,6.598202824133504e-05,0.34,265.0,,,,,
,,,,,,,,,,0.2345,6.585365853658538e-05,0.34,266.0,,,,,
,,,,,,,,,,0.135,6.572528883183568e-05,0.34,267.0,,,,,
,,,,,,,,,,0.1473,6.5596919127086e-05,0.34,268.0,,,,,
,,,,,,,,,,0.2415,6.546854942233634e-05,0.35,269.0,,,,,
,,,,,,,,,,0.0778,6.534017971758666e-05,0.35,270.0,,,,,
,,,,,,,,,,0.0916,6.521181001283697e-05,0.35,271.0,,,,,
,,,,,,,,,,0.3313,6.50834403080873e-05,0.35,272.0,,,,,
,,,,,,,,,,0.0653,6.495507060333762e-05,0.35,273.0,,,,,
,,,,,,,,,,0.1339,6.482670089858793e-05,0.35,274.0,,,,,
,,,,,,,,,,0.3401,6.469833119383826e-05,0.35,275.0,,,,,
,,,,,,,,,,0.0455,6.456996148908858e-05,0.35,276.0,,,,,
,,,,,,,,,,0.253,6.44415917843389e-05,0.36,277.0,,,,,
,,,,,,,,,,0.036,6.431322207958922e-05,0.36,278.0,,,,,
,,,,,,,,,,0.1468,6.418485237483954e-05,0.36,279.0,,,,,
,,,,,,,,,,0.2018,6.405648267008986e-05,0.36,280.0,,,,,
