loss,learning_rate,epoch,step,eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.8265,9.987163029525033e-05,0.0,1,,,,,,,,,,,,,,
1.8314,9.974326059050065e-05,0.0,2,,,,,,,,,,,,,,
1.8065,9.961489088575097e-05,0.0,3,,,,,,,,,,,,,,
1.8209,9.948652118100129e-05,0.01,4,,,,,,,,,,,,,,
1.7812,9.93581514762516e-05,0.01,5,,,,,,,,,,,,,,
1.8084,9.922978177150193e-05,0.01,6,,,,,,,,,,,,,,
1.8063,9.910141206675225e-05,0.01,7,,,,,,,,,,,,,,
1.7988,9.897304236200258e-05,0.01,8,,,,,,,,,,,,,,
1.802,9.884467265725289e-05,0.01,9,,,,,,,,,,,,,,
1.7757,9.871630295250322e-05,0.01,10,,,,,,,,,,,,,,
1.7832,9.858793324775354e-05,0.01,11,,,,,,,,,,,,,,
1.7892,9.845956354300385e-05,0.02,12,,,,,,,,,,,,,,
1.7962,9.833119383825418e-05,0.02,13,,,,,,,,,,,,,,
1.7782,9.82028241335045e-05,0.02,14,,,,,,,,,,,,,,
1.7795,9.807445442875481e-05,0.02,15,,,,,,,,,,,,,,
1.788,9.794608472400514e-05,0.02,16,,,,,,,,,,,,,,
1.7596,9.781771501925546e-05,0.02,17,,,,,,,,,,,,,,
1.7729,9.768934531450578e-05,0.02,18,,,,,,,,,,,,,,
1.7634,9.75609756097561e-05,0.02,19,,,,,,,,,,,,,,
1.7555,9.743260590500642e-05,0.03,20,,,,,,,,,,,,,,
1.7604,9.730423620025674e-05,0.03,21,,,,,,,,,,,,,,
1.7525,9.717586649550706e-05,0.03,22,,,,,,,,,,,,,,
1.7427,9.704749679075738e-05,0.03,23,,,,,,,,,,,,,,
1.7543,9.69191270860077e-05,0.03,24,,,,,,,,,,,,,,
1.7314,9.679075738125802e-05,0.03,25,,,,,,,,,,,,,,
1.7402,9.666238767650834e-05,0.03,26,,,,,,,,,,,,,,
1.7328,9.653401797175868e-05,0.03,27,,,,,,,,,,,,,,
1.7242,9.640564826700899e-05,0.04,28,,,,,,,,,,,,,,
1.7128,9.62772785622593e-05,0.04,29,,,,,,,,,,,,,,
1.7209,9.614890885750964e-05,0.04,30,,,,,,,,,,,,,,
1.719,9.602053915275996e-05,0.04,31,,,,,,,,,,,,,,
1.729,9.589216944801027e-05,0.04,32,,,,,,,,,,,,,,
1.6993,9.57637997432606e-05,0.04,33,,,,,,,,,,,,,,
1.6949,9.563543003851092e-05,0.04,34,,,,,,,,,,,,,,
1.6815,9.550706033376124e-05,0.04,35,,,,,,,,,,,,,,
1.6837,9.537869062901156e-05,0.05,36,,,,,,,,,,,,,,
1.6902,9.525032092426188e-05,0.05,37,,,,,,,,,,,,,,
1.6581,9.51219512195122e-05,0.05,38,,,,,,,,,,,,,,
1.6465,9.499358151476252e-05,0.05,39,,,,,,,,,,,,,,
1.6813,9.486521181001284e-05,0.05,40,,,,,,,,,,,,,,
1.6597,9.473684210526316e-05,0.05,41,,,,,,,,,,,,,,
1.6464,9.460847240051348e-05,0.05,42,,,,,,,,,,,,,,
1.5961,9.44801026957638e-05,0.06,43,,,,,,,,,,,,,,
1.6158,9.435173299101414e-05,0.06,44,,,,,,,,,,,,,,
1.6276,9.422336328626444e-05,0.06,45,,,,,,,,,,,,,,
1.5682,9.409499358151476e-05,0.06,46,,,,,,,,,,,,,,
1.594,9.39666238767651e-05,0.06,47,,,,,,,,,,,,,,
1.6179,9.38382541720154e-05,0.06,48,,,,,,,,,,,,,,
1.5825,9.370988446726572e-05,0.06,49,,,,,,,,,,,,,,
1.5547,9.358151476251606e-05,0.06,50,,,,,,,,,,,,,,
1.5228,9.345314505776636e-05,0.07,51,,,,,,,,,,,,,,
1.5199,9.33247753530167e-05,0.07,52,,,,,,,,,,,,,,
1.4992,9.319640564826702e-05,0.07,53,,,,,,,,,,,,,,
